"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Muffin - Mix - Creme Brule 15l","Tajikistan","22","106","High","3559"
"Cucumber - English","Kazakhstan","13","118","High","3701"
"Oats Large Flake","Egypt","69","225","Low","3276"
"Mushroom - Enoki, Dry","Brazil","15","154","High","3943"
"Mushroom - Chanterelle, Dry","China","34","321","High","2914"
"Crawfish","Brazil","18","186","High","2867"
"Eggplant Oriental","Angola","50","316","Medium","2614"
"Apricots - Dried","Kosovo","30","127","High","3553"
"Yogurt - Cherry, 175 Gr","Indonesia","2","162","High","3719"
"Bar Nature Valley","China","29","169","Medium","3262"
"Wine - White, French Cross","Portugal","81","226","Low","3273"
"Appetizer - Assorted Box","Czech Republic","83","249","Low","3247"
"Pork - Liver","China","81","280","Low","3402"
"Bread - Flat Bread","Indonesia","8","199","High","3931"
"Butter - Unsalted","Uganda","25","154","High","3060"
"Potato - Sweet","Poland","86","365","Low","2978"
"Curry Paste - Green Masala","Thailand","69","251","Low","3481"
"Lentils - Green Le Puy","China","11","118","High","3015"
"Appetizer - Asian Shrimp Roll","Indonesia","46","307","Medium","2575"
"Sponge Cake Mix - Vanilla","Russia","69","297","Medium","3212"
"Jack Daniels","Brazil","80","273","Low","3439"
"Duck - Legs","Indonesia","41","357","Medium","3391"
"Wine - Balbach Riverside","China","43","144","Medium","3193"
"Juice - Cranberry, 341 Ml","China","19","42","High","3511"
"Turkey - Breast, Smoked","China","79","228","Low","3078"
"Yogurt - Plain","Indonesia","17","172","High","3501"
"Lid Coffeecup 12oz D9542b","China","23","100","High","3401"
"Pork - Loin, Boneless","Sweden","88","298","Low","3443"
"Chicken - Soup Base","Brazil","85","227","Low","3117"
"Creamers - 10%","China","31","326","Medium","2791"
"Soup - Canadian Pea, Dry Mix","France","35","137","High","3324"
"Bread - Corn Muffaletta","Portugal","0","173","Medium","3526"
"Red Currants","Russia","45","360","Medium","2608"
"Napkin - Beverge, White 2 - Ply","China","76","226","Medium","3113"
"Bols Melon Liqueur","Cuba","81","314","Low","3376"
"Scotch - Queen Anne","China","87","203","Low","3388"
"Cleaner - Pine Sol","Macedonia","57","388","Medium","3093"
"Cookie Dough - Chocolate Chip","Pakistan","24","126","Medium","3233"
"Pasta - Fusili, Dry","China","54","332","Medium","2520"
"Broom - Push","Sweden","30","115","High","3519"
"Juice - Cranberry 284ml","South Africa","52","372","Medium","3407"
"Banana Turning","Costa Rica","3","187","High","3976"
"Soup - Campbells Tomato Ravioli","China","59","353","High","3070"
"Sea Urchin","Uganda","33","352","Medium","3159"
"Muffin Batt - Choc Chk","China","57","396","Medium","3296"
"Chocolate - Dark","China","24","189","High","4159"
"Pasta - Fusili, Dry","Philippines","74","219","Low","3176"
"Avocado","China","85","170","Low","3119"
"Carrots - Mini Red Organic","Russia","88","240","Low","3182"
"Wine - Casillero Deldiablo","China","32","366","High","2807"
"Beef - Top Sirloin - Aaa","Philippines","15","130","High","3135"
"Monkfish - Fresh","Czech Republic","0","168","High","3060"
"Coffee - Cafe Moreno","Albania","50","395","Medium","3377"
"Wine - Red, Metus Rose","Indonesia","53","392","Low","2990"
"Pancetta","Finland","18","127","High","3769"
"Bread Ww Cluster","Poland","78","236","Low","3184"
"Lettuce - Green Leaf","Slovenia","48","392","High","2561"
"Tamarillo","Russia","61","239","Low","3026"
"Tomato - Green","Chad","-11","113","Medium","3692"
"Milk 2% 500 Ml","Indonesia","1","191","High","3851"
"Soup Knorr Chili With Beans","Vietnam","71","249","Low","3058"
"Pork - Chop, Frenched","Mongolia","21","158","High","3026"
"Scallops 60/80 Iqf","Serbia","7","198","High","3901"
"Sun - Dried Tomatoes","Russia","32","343","Medium","2539"
"Eggs - Extra Large","Mexico","47","394","Medium","2435"
"Chicken - Ground","Syria","80","297","Low","3380"
"Soda Water - Club Soda, 355 Ml","Vietnam","59","364","Medium","3140"
"Cranberry Foccacia","Mexico","80","289","Low","3411"
"Cherries - Bing, Canned","Russia","8","137","High","3075"
"Nut - Pumpkin Seeds","Russia","78","261","Low","3467"
"Long Island Ice Tea","Serbia","66","238","Low","3108"
"Buttons","Uganda","46","316","Medium","2536"
"Five Alive Citrus","Yemen","46","365","Medium","2459"
"Piping - Bags Quizna","Serbia","44","375","Medium","3096"
"Wine - Fontanafredda Barolo","Colombia","54","316","Medium","3051"
"Ecolab Silver Fusion","Russia","11","120","High","3775"
"Muffin - Bran Ind Wrpd","China","64","232","Low","3621"
"Wine - Valpolicella Masi","France","69","232","Low","3097"
"Pasta - Agnolotti - Butternut","Chad","28","188","High","3787"
"Doilies - 10, Paper","China","43","374","Medium","3314"
"The Pop Shoppe - Black Cherry","Portugal","71","246","Low","3092"
"Bread - Italian Corn Meal Poly","Netherlands","14","138","High","3629"
"Lamb - Whole Head Off,nz","Thailand","-4","123","High","2874"
"Wine - Niagara,vqa Reisling","Portugal","11","100","Medium","2790"
"Tomatillo","Argentina","72","293","Low","3005"
"Bag - Regular Kraft 20 Lb","Egypt","46","314","Medium","3053"
"Wine - Duboeuf Beaujolais","Poland","17","152","High","3655"
"Juice - Apple, 341 Ml","China","47","322","Medium","2577"
"Coffee - Espresso","Japan","31","344","Medium","2605"
"Wine - Acient Coast Caberne","Philippines","67","242","Low","3082"
"Kiwi","China","24","166","High","3995"
"Bread Base - Goodhearth","Japan","77","231","Low","3374"
"Goat - Leg","Morocco","40","326","Medium","3489"
"Beans - French","Russia","73","225","Low","3224"
"Bread - Multigrain","China","56","351","Medium","2829"
"Wine - Baron De Rothschild","Peru","30","358","Medium","3143"
"Pasta - Rotini, Colour, Dry","Russia","60","400","Medium","3318"
"Bread Fig And Almond","Japan","0","187","High","3354"
"Cheese - Havarti, Salsa","Canada","4","161","Medium","3521"
"Onions - Pearl","Guatemala","21","111","High","3405"
"Muffin - Mix - Creme Brule 15l","China","74","272","Low","3021"
"Broom And Brush Rack Black","Russia","60","335","Medium","2904"
"Wine - Cahors Ac 2000, Clos","Serbia","42","381","Medium","3459"
"Calaloo","Indonesia","51","398","Medium","3025"
"Table Cloth 144x90 White","Iran","51","317","Medium","2940"
"Chinese Foods - Cantonese","France","17","102","High","3252"
"Pheasants - Whole","China","73","320","Low","3058"
"Lettuce - Belgian Endive","North Korea","55","391","Medium","2816"
"Bagel - 12 Grain Preslice","Canada","45","350","Low","2769"
"Lettuce - Belgian Endive","Vietnam","14","142","High","3986"
"Beef - Outside, Round","Philippines","38","399","High","3076"
"Trout Rainbow Whole","Iran","8","173","High","3791"
"Nori Sea Weed","Myanmar","15","127","Medium","3750"
"Grapes - Red","China","14","133","High","3606"
"Salad Dressing","Portugal","19","32","High","3869"
"Apple - Delicious, Golden","Ecuador","58","365","Medium","3329"
"Lettuce - Frisee","Uganda","59","377","Medium","2993"
"English Muffin","Guatemala","4","173","High","3968"
"Pop Shoppe Cream Soda","Burkina Faso","79","234","Low","3525"
"Chocolate - Milk, Callets","Brazil","42","336","Medium","3260"
"Cream - 18%","Poland","70","285","Medium","3389"
"Huck White Towels","China","83","276","Low","3262"
"Lettuce - Lambs Mash","Indonesia","15","170","High","3154"
"Soup - Campbells Mushroom","Greece","40","303","Medium","3365"
"Mousse - Banana Chocolate","Colombia","89","289","Low","3238"
"Foil Cont Round","China","73","230","Low","3017"
"Wine - Two Oceans Cabernet","Haiti","30","307","Medium","2843"
"Nantucket Cranberry Juice","France","78","234","Low","3086"
"Salt - Table","Madagascar","38","318","Medium","2972"
"Ice Cream - Super Sandwich","Sierra Leone","-1","119","High","3300"
"Grand Marnier","Pakistan","79","200","Low","3279"
"Hand Towel","Japan","38","346","High","2589"
"Glycerine","Indonesia","83","221","Medium","3310"
"Squid - U 5","Sierra Leone","86","241","Low","3440"
"Wine - Acient Coast Caberne","Nigeria","42","312","Medium","2789"
"Bar Energy Chocchip","China","27","166","High","3685"
"Coke - Classic, 355 Ml","Uruguay","65","249","Low","3067"
"Juice - Ocean Spray Cranberry","Sweden","81","245","Medium","3127"
"Beef Dry Aged Tenderloin Aaa","China","52","353","High","3118"
"Tart - Pecan Butter Squares","Poland","59","394","Medium","2790"
"Cheese - Gouda","China","11","190","High","3275"
"Tart Shells - Barquettes, Savory","Mongolia","8","139","Low","3844"
"Cheese - Blue","China","74","265","Low","3159"
"Soup - Campbellschix Stew","Serbia","37","348","Medium","3194"
"Beets - Candy Cane, Organic","Indonesia","9","123","High","3153"
"Beer - Upper Canada Light","United States","81","202","Medium","3163"
"Plastic Arrow Stir Stick","Paraguay","7","120","Medium","3337"
"Soup - Campbells Chili","Russia","23","134","High","3830"
"Quail - Whole, Boneless","Thailand","79","297","Low","3139"
"Danishes - Mini Raspberry","Sweden","72","228","Low","3487"
"Cheese - Mozzarella","China","80","236","Low","3365"
"Tuna - Loin","Poland","17","143","High","3703"
"The Pop Shoppe - Root Beer","China","8","144","High","3854"
"Teriyaki Sauce","China","42","355","Medium","2806"
"Radish - Black, Winter, Organic","Iran","24","54","High","2714"
"French Pastries","Portugal","87","383","Medium","2950"
"Bread - Multigrain, Loaf","Republic of the Congo","32","337","Medium","3124"
"Broom Handle","Belarus","66","210","Low","3050"
"Vinegar - Cider","Venezuela","19","103","High","3518"
"Bread - Roll, Soft White Round","Kazakhstan","17","120","High","3945"
"Yucca","Guatemala","36","353","Medium","2746"
"Tuna - Fresh","Colombia","86","291","Low","3048"
"Coffee Guatemala Dark","Brazil","67","240","Low","3028"
"Pastry - Chocolate Marble Tea","Russia","37","374","Medium","3267"
"Potatoes - Pei 10 Oz","Brazil","40","329","Medium","2787"
"Salami - Genova","China","4","145","Medium","3646"
"Salsify, Organic","United States","17","162","Low","3135"
"Transfer Sheets","China","70","289","Low","3436"
"Sorrel - Fresh","Philippines","71","235","Medium","3096"
"Wine - White, French Cross","Mexico","49","395","Medium","3563"
"Oxtail - Cut","China","44","364","Medium","3456"
"Banana","Belarus","4","130","High","3727"
"Toothpick Frilled","Poland","31","302","Medium","3351"
"Monkfish Fresh - Skin Off","Hungary","26","176","High","3715"
"Cranberries - Frozen","Thailand","9","164","High","3970"
"Wine - Chardonnay Mondavi","Brazil","46","360","Medium","2979"
"Quail - Whole, Boneless","China","36","378","High","2608"
"Coffee Guatemala Dark","Sweden","12","191","High","3237"
"Wine - Dubouef Macon - Villages","China","26","153","High","3826"
"Quail - Eggs, Fresh","United States","46","347","Medium","2773"
"Long Island Ice Tea","Bosnia and Herzegovina","66","219","Medium","3164"
"Oven Mitt - 13 Inch","Tunisia","21","171","High","3920"
"Beets - Pickled","France","77","282","Low","3013"
"Cinnamon Buns Sticky","China","68","282","Low","3467"
"Cheese - Augre Des Champs","Kazakhstan","81","222","Low","3415"
"Soup Bowl Clear 8oz92008","Russia","39","344","Medium","2844"
"Oil - Shortening,liqud, Fry","Portugal","60","218","Low","3205"
"Beef - Top Butt","China","82","277","Low","3301"
"Pepper - Black, Whole","Russia","51","314","Medium","2754"
"Southern Comfort","China","55","369","High","3279"
"Beef Tenderloin Aaa","China","33","342","Medium","3205"
"Sea Bass - Fillets","Indonesia","6","139","High","3920"
"Pork - Sausage Casing","Russia","66","229","Low","3240"
"Flour Dark Rye","Namibia","64","236","Low","3366"
"Wine - Casillero Deldiablo","Russia","62","258","Low","3257"
"Fennel","Indonesia","44","376","Medium","3040"
"Dill - Primerba, Paste","Sweden","88","224","Low","3059"
"Beef - Bresaola","China","84","261","Medium","3106"
"Chicken Thigh - Bone Out","Philippines","51","396","Medium","3314"
"Veal - Striploin","Indonesia","51","305","Medium","2837"
"Soup Campbells Mexicali Tortilla","Mexico","54","326","Medium","2741"
"Puree - Kiwi","Portugal","34","357","Medium","2519"
"Cheese - Mozzarella","Panama","11","187","High","3302"
"Mop Head - Cotton, 24 Oz","Portugal","56","348","Medium","3078"
"The Pop Shoppe - Root Beer","Indonesia","2","128","High","3728"
"Tea - Honey Green Tea","China","13","204","High","3356"
"Cup - Paper 10oz 92959","China","72","289","Low","3311"
"Sausage - Andouille","China","87","233","Low","3010"
"Shrimp - Baby, Cold Water","Belarus","72","286","Medium","3460"
"Roe - Lump Fish, Black","Czech Republic","54","374","Medium","2835"
"Turnip - White, Organic","Czech Republic","46","174","Low","3426"
"Coffee - Frthy Coffee Crisp","Russia","0","197","High","3486"
"Salmon Steak - Cohoe 8 Oz","China","8","168","High","3570"
"Guinea Fowl","Brazil","49","368","Medium","2569"
"Wine - Chablis 2003 Champs","Greece","7","148","High","3898"
"Duck - Whole","Greece","40","347","Medium","2507"
"Tea - Camomele","Croatia","65","284","Low","3440"
"Pie Shell - 9","Kazakhstan","4","225","High","3513"
"Cinnamon Buns Sticky","Canada","67","232","Medium","3020"
"Wine - Magnotta - Belpaese","Czech Republic","2","161","High","3357"
"Butcher Twine 4r","Brazil","53","315","Medium","3165"
"Oranges","Moldova","26","318","Medium","3352"
"Bread - White, Unsliced","Brazil","3","104","Medium","3752"
"Cheese - Grana Padano","Indonesia","61","205","Low","3426"
"Red Pepper Paste","France","13","154","High","3649"
"Amaretto","Indonesia","86","211","Low","3265"
"Cheese - Perron Cheddar","France","56","310","Medium","2472"
"Yogurt - Strawberry, 175 Gr","United States","28","195","High","3396"
"Onions - Cooking","Belarus","60","437","Medium","3434"
"Cheese - Boursin, Garlic / Herbs","Poland","35","346","Medium","3284"
"Soup - Knorr, French Onion","Poland","32","309","High","2850"
"Cheese - Cambozola","Mexico","60","355","High","3270"
"Langers - Mango Nectar","Indonesia","16","109","High","3549"
"Waffle Stix","Ireland","61","271","Low","3222"
"Napkin - Dinner, White","Niger","44","382","Medium","2963"
"Compound - Raspberry","United States","61","296","Low","3038"
"Wine - Black Tower Qr","China","9","172","High","3338"
"Beer - Original Organic Lager","Ecuador","106","252","Low","3336"
"Bread - Granary Small Pull","Vietnam","3","157","High","3876"
"Thermometer Digital","Russia","35","389","Low","3142"
"Nut - Pecan, Halves","China","63","230","Low","3215"
"Veal - Eye Of Round","United States","35","290","Low","3255"
"Veal Inside - Provimi","Indonesia","5","149","High","3508"
"Chicken - Thigh, Bone In","Portugal","8","147","High","3857"
"Beef - Tongue, Fresh","Portugal","55","347","Low","2837"
"Chicken Breast Halal","Russia","26","146","High","3718"
"Bagelers - Cinn / Brown Sugar","China","58","313","Medium","3440"
"Radish","France","75","296","Low","3258"
"Wine - Cotes Du Rhone","China","79","250","High","3322"
"Dawn Professionl Pot And Pan","Afghanistan","12","187","High","3801"
"Lettuce - Mini Greens, Whole","Indonesia","88","249","Low","3070"
"Baking Soda","Sweden","56","319","Medium","2771"
"Lidsoupcont Rp12dn","Zambia","27","198","High","3417"
"Longos - Lasagna Beef","Cayman Islands","13","46","High","4261"
"Glove - Cutting","Russia","76","223","Low","3239"
"Wine - Red, Gamay Noir","Philippines","20","196","High","3927"
"Cheese - Ricotta","South Africa","88","256","Low","3379"
"Eggplant - Baby","Chile","62","267","Medium","3284"
"Cardamon Ground","Brazil","60","217","Low","3126"
"Table Cloth - 53x69 Colour","China","39","345","Medium","2815"
"Monkfish - Fresh","China","31","335","Medium","2692"
"Bananas","Peru","56","365","Medium","3209"
"Raspberries - Frozen","Czech Republic","40","354","High","3451"
"Beef - Rib Roast, Capless","Finland","60","356","Medium","2922"
"Cookie - Oatmeal","Mexico","2","100","Low","3891"
"Pickerel - Fillets","Philippines","28","134","High","3500"
"Paper Cocktail Umberlla 80 - 180","Argentina","74","236","Low","3087"
"Chestnuts - Whole,canned","Mexico","58","354","Medium","2500"
"Glycerine","Portugal","71","272","Low","3303"
"Pike - Frozen Fillet","Sweden","34","383","Medium","3201"
"Cut Wakame - Hanawakaba","Cuba","36","350","High","3337"
"Island Oasis - Mango Daiquiri","Ukraine","18","158","High","3443"
"Glucose","Paraguay","105","300","Low","3300"
"Yeast Dry - Fermipan","Serbia","12","192","High","3948"
"Wine - Malbec Trapiche Reserve","China","16","106","High","3416"
"Cherries - Frozen","China","57","344","Medium","3101"
"Milk - Skim","China","6","140","High","3486"
"Asparagus - White, Canned","Mexico","57","307","Medium","3224"
"Beer - Mcauslan Apricot","Indonesia","87","118","Low","3318"
"Coffee - Espresso","Philippines","47","362","High","3170"
"Remy Red Berry Infusion","Syria","83","267","Low","3203"
"Syrup - Monin, Irish Cream","Indonesia","69","285","Low","3402"
"Sobe - Orange Carrot","Indonesia","48","354","Medium","3343"
"Roe - White Fish","China","49","400","High","2748"
"Sambuca - Opal Nera","Indonesia","36","312","Medium","3239"
"Sea Bass - Whole","Indonesia","85","279","Low","3155"
"Scallops - Live In Shell","Indonesia","0","110","High","3946"
"Pepper - Pablano","Indonesia","7","190","High","3286"
"Cabbage - Red","Russia","79","221","Low","3475"
"Foie Gras","Sweden","17","101","High","3088"
"Nantucket Pine Orangebanana","American Samoa","4","162","High","3094"
"Shrimp - 31/40","Tonga","89","279","Low","3067"
"Soup Campbells - Italian Wedding","Ecuador","13","127","High","3827"
"Meldea Green Tea Liquor","France","46","379","Medium","3092"
"Cheese - Cheddar With Claret","Indonesia","64","268","Low","3042"
"Tomatoes - Orange","Uganda","9","151","High","3242"
"Energy Drink - Redbull 355ml","Finland","40","348","Low","3103"
"Wine - Coteaux Du Tricastin Ac","Indonesia","8","103","High","3589"
"Foil - Round Foil","Brazil","62","213","Low","3276"
"Wine - White, Chardonnay","Indonesia","49","400","Medium","3007"
"Flour - Bran, Red","Poland","10","120","High","3577"
"Olives - Green, Pitted","Mexico","42","207","Medium","3550"
"Pasta - Fettuccine, Dry","French Polynesia","34","389","Medium","2855"
"Rum - Dark, Bacardi, Black","Mexico","57","389","Medium","2524"
"Wine - Red, Pinot Noir, Chateau","Indonesia","40","367","Medium","2915"
"Sour Puss Sour Apple","Greece","36","324","High","2944"
"Capers - Ox Eye Daisy","Indonesia","7","121","High","3935"
"Pumpkin","Bosnia and Herzegovina","11","138","High","3206"
"Vaccum Bag - 14x20","Bulgaria","2","193","High","3581"
"Bar Mix - Lime","China","32","340","Medium","3175"
"Mudslide","Japan","46","367","Medium","2825"
"Bread - Petit Baguette","Cuba","34","390","Medium","3383"
"Wine - White, Mosel Gold","Brazil","73","284","High","3164"
"Beer - Pilsner Urquell","China","47","316","Medium","2851"
"Oil - Truffle, White","Sweden","44","377","Medium","3069"
"Lobster - Tail, 3 - 4 Oz","Philippines","68","387","Medium","3852"
"Blueberries","China","-16","160","High","3731"
"Lettuce Romaine Chopped","China","42","386","Medium","2657"
"Cassis","Portugal","89","165","Low","3519"
"Grenadine","Cuba","28","132","High","3692"
"Vegetable - Base","Poland","52","367","Medium","2764"
"Wine - Merlot Vina Carmen","Syria","62","263","Low","3378"
"Jolt Cola - Electric Blue","Russia","41","341","Medium","2910"
"Prunes - Pitted","United States","75","279","Low","3319"
"Coffee - Decafenated","Czech Republic","30","170","Medium","3843"
"Pork - Butt, Boneless","Indonesia","88","234","Low","3050"
"Creme De Cacao White","Belarus","73","240","Low","3318"
"Soup Campbells","Russia","6","189","High","3729"
"Liners - Baking Cups","China","51","377","Medium","3229"
"Cauliflower","China","22","168","High","3874"
"Wine - Red, Gallo, Merlot","France","87","216","Low","3446"
"Turkey - Breast, Smoked","Indonesia","62","222","Low","3409"
"Beer - Molson Excel","Mexico","81","278","Low","3231"
"Wine - Red, Colio Cabernet","Turkmenistan","85","209","High","3106"
"Mussels - Cultivated","United States","70","238","Low","3004"
"Beef - Montreal Smoked Brisket","Philippines","2","123","High","3665"
"Burger Veggie","Thailand","20","166","High","3421"
"Bread Foccacia Whole","Colombia","58","327","High","2849"
"Sauce - Roasted Red Pepper","Portugal","23","132","High","3353"
"Plasticforkblack","Indonesia","29","166","Medium","3626"
"Ketchup - Tomato","Philippines","77","260","Low","3187"
"Lettuce - Green Leaf","Indonesia","77","247","Low","3237"
"Garlic - Elephant","Chad","47","387","Medium","3058"
"Oil - Avocado","France","1","31","High","3759"
"Cheese - Augre Des Champs","Portugal","3","195","High","3324"
"Soup - Knorr, Country Bean","Philippines","42","377","Medium","2926"
"Bulgar","Indonesia","12","179","High","3569"
"Cups 10oz Trans","Russia","20","199","Low","3175"
"Mayonnaise - Individual Pkg","Brazil","39","305","Medium","2767"
"French Pastry - Mini Chocolate","Portugal","23","152","High","3122"
"Bread - French Baquette","Morocco","61","289","Low","3116"
"Pheasants - Whole","China","59","353","Medium","2532"
"Bread - Frozen Basket Variety","Russia","53","381","Medium","2917"
"Carbonated Water - Orange","Brazil","14","178","High","2667"
"Flower - Leather Leaf Fern","Paraguay","36","391","Medium","3497"
"Veal - Ground","Portugal","62","236","Low","3321"
"Mustard - Dijon","Indonesia","80","216","Low","3261"
"Cake Sheet Combo Party Pack","Mauritius","65","288","Low","3165"
"Dasheen","Portugal","53","392","Medium","3141"
"Chips - Assorted","Vietnam","30","100","High","3250"
"Thyme - Fresh","Afghanistan","4","113","Medium","3459"
"Hersey Shakes","Serbia","77","201","Low","3221"
"Pear - Halves","China","49","322","Medium","3475"
"Tomatoes - Yellow Hot House","Portugal","20","176","High","3013"
"Relish","China","56","320","High","3364"
"Soup Campbells Mexicali Tortilla","China","35","305","Low","3436"
"Longos - Assorted Sandwich","Peru","26","134","High","3897"
"Bread - Rolls, Corn","Russia","61","253","Low","3011"
"Lid - 0090 Clear","Sweden","55","328","Medium","3354"
"Pork - Sausage Casing","China","78","287","Low","3203"
"Nantucket Orange Juice","China","8","124","High","3540"
"Water - Tonic","Indonesia","81","276","Low","3402"
"Cinnamon - Ground","Honduras","72","254","Low","2918"
"Persimmons","Indonesia","82","275","Low","3368"
"Phyllo Dough","Portugal","43","366","Medium","3238"
"Mushroom - White Button","Mongolia","28","194","High","3108"
"Appetizer - Escargot Puff","Venezuela","81","224","Low","3343"
"Tomatoes Tear Drop Yellow","Russia","5","163","High","3007"
"Sugar - Cubes","Indonesia","63","265","Low","3248"
"Bread - 10 Grain","Georgia","79","330","Medium","3485"
"Pork - Back, Long Cut, Boneless","Nepal","62","242","Low","3308"
"Okra","Indonesia","77","230","Low","3164"
"Gooseberry","Colombia","89","263","Low","3449"
"Vermouth - White, Cinzano","China","5","155","High","3645"
"Nut - Walnut, Chopped","Russia","10","160","High","3677"
"Longan","Russia","65","205","Low","3366"
"Potatoes - Instant, Mashed","Lesotho","60","310","Medium","3171"
"Appetizer - Veg Assortment","Bolivia","30","219","High","3117"
"Plate - Foam, Bread And Butter","Russia","4","161","High","3726"
"Cake Slab","China","55","388","Low","3451"
"Longos - Chicken Curried","China","65","262","Low","3273"
"Milk - Condensed","China","28","119","High","3793"
"Arrowroot","Paraguay","60","332","Medium","3374"
"Shrimp - Black Tiger 6 - 8","China","67","236","Low","3357"
"Sprouts - Onion","China","21","146","High","3599"
"Liqueur - Melon","Norway","42","383","Medium","3180"
"Bread Base - Italian","Russia","101","220","Low","3285"
"Seedlings - Buckwheat, Organic","Morocco","11","149","High","3174"
"Wine - Cave Springs Dry Riesling","Thailand","40","371","Medium","2982"
"Spice - Paprika","United States","71","256","Low","3094"
"Shortbread - Cookie Crumbs","Russia","42","328","Medium","3170"
"Syrup - Chocolate","Mongolia","3","197","High","3903"
"Juice - Ocean Spray Cranberry","France","-10","196","High","3685"
"Wine - Balbach Riverside","Argentina","77","291","Low","3201"
"Pork - Inside","Japan","53","323","Medium","3277"
"Corn - Cream, Canned","China","37","359","Medium","3158"
"Muffin - Mix - Bran And Maple 15l","Brazil","72","242","Medium","3484"
"Cherries - Maraschino,jar","Portugal","33","382","Medium","3136"
"Crab - Blue, Frozen","Madagascar","2","105","High","3563"
"Plaintain","Kazakhstan","25","149","Medium","3116"
"Compound - Passion Fruit","Uganda","73","207","High","3362"
"Lettuce - Arugula","France","62","295","Low","3052"
"Urban Zen Drinks","Russia","39","333","Medium","3283"
"Wine - Sawmill Creek Autumn","Egypt","40","323","High","2880"
"Broom Handle","Sweden","81","285","Low","3091"
"Pesto - Primerba, Paste","China","24","130","Medium","3159"
"Syrup - Pancake","China","45","383","Medium","3359"
