"Name","Appetite","Dominant Teeth","Diet Category","Foot Count","Size","Aggressive","Domesticable"
"Animal 54","Medium","Canine","Herbivore","2","1","5","FALSE"
"Animal 55","Big","Canine","Omnivore","2","1","5","FALSE"
"Animal 56","Big","Canine","Omnivore","1","3","5","FALSE"
"Animal 57","Small","Canine","Omnivore","6","2","5","FALSE"
"Animal 58","Big","Canine","Herbivore","2","1","5","FALSE"
"Animal 59","Small","Canine","Omnivore","4","2","5","FALSE"
"Animal 60","Big","Canine","Carnivore","5","3","5","FALSE"
"Animal 61","Small","Incisor","Herbivore","6","2","5","TRUE"
"Animal 62","Big","Incisor","Omnivore","8","3","5","FALSE"
"Animal 63","Small","Canine","Omnivore","2","2","5","TRUE"
"Animal 64","Small","Incisor","Omnivore","4","2","5","TRUE"
"Animal 65","Small","Canine","Omnivore","2","1","5","TRUE"
"Animal 66","Medium","Incisor","Carnivore","8","2","5","FALSE"
"Animal 67","Medium","Canine","Omnivore","2","1","5","TRUE"
"Animal 68","Big","Canine","Herbivore","2","3","5","TRUE"
"Animal 69","Big","Incisor","Carnivore","10","2","5","FALSE"
"Animal 70","Small","Canine","Omnivore","6","2","5","TRUE"
"Animal 71","Big","Incisor","Carnivore","2","2","5","FALSE"
"Animal 72","Medium","Incisor","Carnivore","2","2","5","FALSE"
"Animal 73","Medium","Incisor","Omnivore","6","1","5","TRUE"
"Animal 74","Medium","Incisor","Omnivore","2","1","5","TRUE"
"Animal 75","Medium","Incisor","Omnivore","2","3","5","TRUE"
"Animal 76","Medium","Canine","Omnivore","6","2","5","TRUE"
"Animal 77","Big","Canine","Omnivore","2","3","5","TRUE"
"Animal 78","Small","Canine","Carnivore","4","2","5","FALSE"
"Animal 79","Medium","Canine","Carnivore","11","2","5","FALSE"
"Animal 80","Small","Canine","Herbivore","6","1","5","TRUE"
"Animal 81","Small","Incisor","Omnivore","2","1","5","TRUE"
"Animal 82","Big","Canine","Herbivore","6","2","5","TRUE"
"Animal 83","Medium","Canine","Herbivore","6","2","5","TRUE"
"Animal 84","Medium","Incisor","Omnivore","7","2","5","FALSE"
"Animal 85","Big","Canine","Omnivore","2","3","5","TRUE"
"Animal 86","Small","Incisor","Carnivore","7","2","5","FALSE"
"Animal 87","Small","Incisor","Carnivore","3","3","5","FALSE"
"Animal 88","Small","Canine","Omnivore","6","3","5","TRUE"
"Animal 89","Medium","Incisor","Omnivore","2","2","5","FALSE"
"Animal 90","Small","Canine","Omnivore","2","1","5","TRUE"
"Animal 91","Big","Canine","Omnivore","2","1","5","TRUE"
"Animal 92","Small","Incisor","Omnivore","2","2","5","FALSE"
"Animal 93","Medium","Canine","Herbivore","4","1","5","TRUE"
"Animal 94","Big","Incisor","Omnivore","4","1","5","TRUE"
"Animal 95","Small","Incisor","Carnivore","9","3","5","FALSE"
"Animal 96","Medium","Canine","Omnivore","8","2","5","FALSE"
"Animal 97","Small","Incisor","Carnivore","1","2","5","FALSE"
"Animal 98","Medium","Incisor","Omnivore","5","3","5","FALSE"
"Animal 99","Small","Canine","Omnivore","6","1","5","TRUE"
"Animal 100","Medium","Incisor","Omnivore","2","2","5","FALSE"
"Animal 101","Medium","Incisor","Omnivore","1","2","5","FALSE"
"Animal 102","Medium","Canine","Carnivore","3","2","5","FALSE"
"Animal 103","Medium","Incisor","Carnivore","12","2","5","FALSE"
"Animal 104","Medium","Incisor","Omnivore","2","1","5","TRUE"
"Animal 105","Medium","Incisor","Omnivore","11","3","5","FALSE"
"Animal 106","Big","Incisor","Omnivore","4","2","5","FALSE"
"Animal 107","Small","Incisor","Omnivore","2","2","5","FALSE"
"Animal 108","Small","Incisor","Herbivore","2","3","5","TRUE"
"Animal 109","Medium","Incisor","Omnivore","1","3","5","FALSE"
"Animal 110","Big","Canine","Omnivore","6","3","5","TRUE"
"Animal 111","Medium","Canine","Carnivore","10","3","5","FALSE"
"Animal 112","Small","Incisor","Carnivore","8","2","5","FALSE"
"Animal 113","Small","Incisor","Herbivore","4","1","5","TRUE"
"Animal 114","Medium","Canine","Omnivore","6","2","5","TRUE"
"Animal 115","Big","Canine","Herbivore","4","2","5","TRUE"
"Animal 116","Small","Canine","Omnivore","6","1","5","TRUE"
"Animal 117","Big","Incisor","Omnivore","9","2","5","FALSE"
"Animal 118","Medium","Incisor","Omnivore","1","3","5","FALSE"
"Animal 119","Medium","Incisor","Herbivore","4","2","5","TRUE"
"Animal 120","Small","Canine","Herbivore","6","3","5","TRUE"
"Animal 121","Small","Incisor","Omnivore","9","3","5","FALSE"
"Animal 122","Medium","Incisor","Omnivore","5","2","5","FALSE"
"Animal 123","Small","Incisor","Omnivore","3","3","5","FALSE"
"Animal 124","Small","Canine","Omnivore","6","2","5","FALSE"
"Animal 125","Medium","Incisor","Omnivore","9","2","5","FALSE"
"Animal 126","Small","Canine","Herbivore","6","3","5","TRUE"
"Animal 127","Big","Canine","Omnivore","2","1","5","TRUE"
"Animal 128","Medium","Canine","Herbivore","2","1","5","TRUE"
"Animal 129","Small","Incisor","Carnivore","2","3","5","FALSE"
"Animal 130","Big","Canine","Herbivore","6","1","5","TRUE"
"Animal 131","Big","Incisor","Omnivore","4","3","5","TRUE"
"Animal 132","Small","Canine","Omnivore","4","1","5","TRUE"
"Animal 133","Medium","Incisor","Omnivore","7","2","5","FALSE"
"Animal 134","Medium","Canine","Omnivore","5","2","5","FALSE"
"Animal 135","Small","Canine","Omnivore","7","3","5","FALSE"
"Animal 136","Medium","Incisor","Omnivore","4","1","5","TRUE"
"Animal 137","Small","Incisor","Omnivore","5","3","5","FALSE"
"Animal 138","Small","Canine","Omnivore","5","3","5","FALSE"
"Animal 139","Medium","Incisor","Carnivore","4","2","5","FALSE"
"Animal 140","Big","Incisor","Omnivore","6","2","5","TRUE"
"Animal 141","Big","Incisor","Omnivore","9","3","5","FALSE"
"Animal 142","Big","Canine","Herbivore","2","3","5","TRUE"
"Animal 143","Medium","Incisor","Omnivore","8","3","5","FALSE"
"Animal 144","Small","Incisor","Omnivore","2","3","5","TRUE"
"Animal 145","Medium","Incisor","Herbivore","6","3","5","TRUE"
"Animal 146","Big","Canine","Carnivore","12","3","5","FALSE"
"Animal 147","Medium","Incisor","Omnivore","2","3","5","FALSE"
"Animal 148","Medium","Canine","Herbivore","6","3","5","TRUE"
"Animal 149","Small","Canine","Herbivore","2","3","5","TRUE"
"Animal 150","Small","Incisor","Carnivore","2","3","5","FALSE"
"Animal 151","Small","Canine","Omnivore","10","3","5","FALSE"
"Animal 152","Small","Canine","Omnivore","4","3","5","TRUE"
"Animal 153","Small","Incisor","Omnivore","6","3","5","FALSE"
"Animal 154","Medium","Canine","Herbivore","2","3","5","TRUE"
"Animal 155","Big","Incisor","Carnivore","10","3","5","FALSE"
"Animal 156","Small","Canine","Omnivore","4","3","5","TRUE"
"Animal 157","Small","Canine","Omnivore","12","3","5","FALSE"
"Animal 158","Medium","Incisor","Omnivore","10","3","5","FALSE"
"Animal 159","Big","Canine","Omnivore","4","2","5","TRUE"
"Animal 160","Small","Canine","Omnivore","6","1","5","TRUE"
"Animal 161","Big","Incisor","Omnivore","7","2","5","FALSE"
"Animal 162","Small","Incisor","Omnivore","4","2","5","FALSE"
"Animal 163","Big","Incisor","Omnivore","10","2","5","FALSE"
"Animal 164","Big","Canine","Omnivore","6","2","5","TRUE"
"Animal 165","Big","Canine","Omnivore","6","1","5","TRUE"
"Animal 166","Big","Canine","Carnivore","8","2","5","FALSE"
"Animal 167","Medium","Incisor","Carnivore","10","3","5","FALSE"
"Animal 168","Small","Canine","Omnivore","4","3","5","TRUE"
"Animal 169","Medium","Canine","Omnivore","6","3","5","TRUE"
"Animal 170","Big","Canine","Omnivore","2","1","5","TRUE"
"Animal 171","Small","Canine","Omnivore","3","3","5","FALSE"
"Animal 172","Medium","Canine","Omnivore","4","2","5","TRUE"
"Animal 173","Big","Incisor","Carnivore","6","3","5","FALSE"
"Animal 174","Small","Incisor","Omnivore","12","2","5","FALSE"
"Animal 175","Medium","Incisor","Omnivore","7","2","5","FALSE"
"Animal 176","Medium","Incisor","Carnivore","4","2","5","FALSE"
"Animal 177","Small","Incisor","Omnivore","10","3","5","FALSE"
"Animal 178","Small","Incisor","Omnivore","9","2","5","FALSE"
"Animal 179","Small","Incisor","Omnivore","9","2","5","FALSE"
"Animal 180","Big","Canine","Omnivore","4","3","5","TRUE"
"Animal 181","Small","Canine","Herbivore","2","1","5","TRUE"
"Animal 182","Big","Canine","Omnivore","6","2","5","TRUE"
"Animal 183","Medium","Canine","Omnivore","2","1","5","TRUE"
"Animal 184","Big","Canine","Omnivore","4","2","5","TRUE"
"Animal 185","Small","Canine","Omnivore","2","2","5","TRUE"
"Animal 186","Big","Incisor","Carnivore","4","3","5","FALSE"
"Animal 187","Small","Canine","Herbivore","6","1","5","TRUE"
"Animal 188","Big","Incisor","Carnivore","10","3","5","FALSE"
"Animal 189","Big","Canine","Carnivore","7","2","5","FALSE"
"Animal 190","Medium","Incisor","Omnivore","10","2","5","FALSE"
"Animal 191","Small","Incisor","Omnivore","6","3","5","FALSE"
"Animal 192","Big","Incisor","Omnivore","2","3","5","FALSE"
"Animal 193","Small","Canine","Herbivore","2","2","5","TRUE"
"Animal 194","Big","Incisor","Omnivore","8","2","5","FALSE"
"Animal 195","Big","Canine","Omnivore","2","2","5","TRUE"
"Animal 196","Big","Incisor","Carnivore","12","2","5","FALSE"
"Animal 197","Small","Canine","Carnivore","5","2","5","FALSE"
"Animal 198","Small","Incisor","Omnivore","6","2","5","TRUE"
"Animal 199","Medium","Canine","Carnivore","2","2","5","FALSE"
"Animal 200","Big","Canine","Omnivore","5","3","4","FALSE"
"Animal 201","Big","Incisor","Carnivore","6","2","1","FALSE"
"Animal 202","Medium","Incisor","Omnivore","2","1","4","TRUE"
"Animal 203","Medium","Canine","Omnivore","4","2","1","FALSE"
"Animal 204","Medium","Canine","Omnivore","2","1","5","TRUE"
"Animal 205","Small","Canine","Herbivore","4","1","3","TRUE"
"Animal 206","Medium","Canine","Herbivore","2","2","3","TRUE"
"Animal 207","Small","Incisor","Omnivore","2","1","4","TRUE"
"Animal 208","Big","Canine","Omnivore","6","2","3","TRUE"
"Animal 209","Big","Incisor","Omnivore","12","2","1","FALSE"
"Animal 210","Medium","Canine","Omnivore","2","1","1","TRUE"
"Animal 211","Small","Incisor","Omnivore","4","2","5","TRUE"
"Animal 212","Big","Incisor","Carnivore","3","2","1","FALSE"
"Animal 213","Big","Incisor","Omnivore","2","1","2","TRUE"
"Animal 214","Medium","Canine","Carnivore","11","2","6","FALSE"
"Animal 215","Medium","Incisor","Omnivore","12","2","1","FALSE"
"Animal 216","Medium","Incisor","Omnivore","4","2","1","FALSE"
"Animal 217","Medium","Incisor","Omnivore","1","2","2","FALSE"
"Animal 218","Medium","Incisor","Omnivore","8","3","6","FALSE"
"Animal 219","Big","Incisor","Omnivore","12","3","5","FALSE"
"Animal 220","Small","Incisor","Herbivore","4","1","3","TRUE"
"Animal 221","Big","Canine","Omnivore","4","3","2","FALSE"
"Animal 222","Medium","Incisor","Omnivore","2","1","1","TRUE"
"Animal 223","Small","Incisor","Omnivore","3","2","6","FALSE"
"Animal 224","Small","Canine","Omnivore","2","2","4","FALSE"
"Animal 225","Big","Canine","Omnivore","3","2","6","FALSE"
"Animal 226","Big","Incisor","Carnivore","1","3","1","FALSE"
"Animal 227","Medium","Canine","Omnivore","2","1","4","TRUE"
"Animal 228","Medium","Incisor","Omnivore","6","2","1","FALSE"
"Animal 229","Medium","Canine","Herbivore","2","2","1","TRUE"
"Animal 230","Small","Canine","Carnivore","3","2","3","FALSE"
"Animal 231","Medium","Incisor","Carnivore","8","2","1","FALSE"
"Animal 232","Medium","Incisor","Carnivore","3","2","4","FALSE"
"Animal 233","Big","Canine","Herbivore","4","3","1","TRUE"
"Animal 234","Small","Incisor","Omnivore","4","2","5","FALSE"
"Animal 235","Big","Canine","Omnivore","2","1","5","TRUE"
"Animal 236","Big","Canine","Omnivore","10","2","1","FALSE"
"Animal 237","Small","Incisor","Carnivore","11","2","6","FALSE"
"Animal 238","Medium","Canine","Omnivore","6","1","3","TRUE"
"Animal 239","Medium","Incisor","Omnivore","4","3","5","FALSE"
"Animal 240","Big","Canine","Omnivore","4","1","3","TRUE"
"Animal 241","Small","Incisor","Omnivore","6","2","4","FALSE"
"Animal 242","Medium","Incisor","Carnivore","4","2","5","FALSE"
"Animal 243","Big","Canine","Omnivore","6","2","5","TRUE"
"Animal 244","Small","Canine","Omnivore","4","1","1","TRUE"
"Animal 245","Small","Incisor","Omnivore","7","2","6","FALSE"
"Animal 246","Small","Canine","Omnivore","6","1","4","TRUE"
"Animal 247","Medium","Canine","Omnivore","4","3","3","TRUE"
"Animal 248","Big","Incisor","Herbivore","4","2","5","TRUE"
"Animal 249","Big","Incisor","Omnivore","12","2","2","FALSE"
"Animal 250","Small","Canine","Omnivore","4","1","2","TRUE"
"Animal 251","Medium","Canine","Carnivore","5","2","5","FALSE"
"Animal 252","Big","Incisor","Carnivore","7","3","5","FALSE"
"Animal 253","Big","Canine","Omnivore","4","1","3","TRUE"
"Animal 254","Big","Canine","Omnivore","11","2","5","FALSE"
"Animal 255","Small","Incisor","Omnivore","6","2","3","FALSE"
"Animal 256","Medium","Incisor","Omnivore","6","3","1","FALSE"
"Animal 257","Medium","Canine","Herbivore","6","1","3","TRUE"
"Animal 258","Medium","Incisor","Omnivore","2","3","5","FALSE"
"Animal 259","Small","Canine","Omnivore","3","2","3","FALSE"
"Animal 260","Medium","Incisor","Omnivore","8","2","2","FALSE"
"Animal 261","Big","Canine","Omnivore","2","2","2","TRUE"
"Animal 262","Medium","Incisor","Omnivore","1","2","4","FALSE"
"Animal 263","Small","Incisor","Omnivore","2","1","2","TRUE"
"Animal 264","Big","Incisor","Herbivore","2","2","1","TRUE"
"Animal 265","Small","Canine","Omnivore","6","2","5","TRUE"
"Animal 266","Big","Canine","Omnivore","2","1","5","TRUE"
"Animal 267","Big","Incisor","Omnivore","11","2","1","FALSE"
"Animal 268","Big","Incisor","Herbivore","2","3","5","TRUE"
"Animal 269","Big","Incisor","Omnivore","2","3","3","TRUE"
"Animal 270","Big","Canine","Omnivore","6","3","4","FALSE"
"Animal 271","Big","Incisor","Carnivore","4","3","4","FALSE"
"Animal 272","Big","Incisor","Herbivore","4","3","4","TRUE"
"Animal 273","Medium","Incisor","Carnivore","10","3","3","FALSE"
"Animal 274","Big","Canine","Carnivore","11","3","5","FALSE"
"Animal 275","Small","Canine","Omnivore","6","3","1","TRUE"
"Animal 276","Small","Canine","Omnivore","6","3","4","TRUE"
"Animal 277","Small","Canine","Omnivore","2","3","3","TRUE"
"Animal 278","Medium","Canine","Omnivore","9","3","1","FALSE"
"Animal 279","Medium","Incisor","Carnivore","5","3","3","FALSE"
"Animal 280","Big","Canine","Omnivore","9","3","2","FALSE"
"Animal 281","Big","Canine","Herbivore","2","3","2","TRUE"
"Animal 282","Small","Incisor","Herbivore","6","3","1","TRUE"
"Animal 283","Big","Incisor","Herbivore","6","3","4","TRUE"
"Animal 284","Big","Canine","Omnivore","4","3","3","TRUE"
"Animal 285","Medium","Incisor","Herbivore","2","3","5","TRUE"
"Animal 286","Big","Incisor","Omnivore","3","3","6","FALSE"
"Animal 287","Medium","Canine","Omnivore","8","3","1","FALSE"
"Animal 288","Big","Incisor","Omnivore","3","3","4","FALSE"
"Animal 289","Medium","Incisor","Omnivore","7","3","1","FALSE"
"Animal 290","Small","Incisor","Omnivore","2","3","3","FALSE"
"Animal 291","Big","Canine","Herbivore","6","3","2","TRUE"
"Animal 292","Big","Canine","Omnivore","6","3","4","TRUE"
"Animal 293","Medium","Canine","Omnivore","1","2","3","FALSE"
"Animal 294","Medium","Incisor","Omnivore","4","1","3","TRUE"
"Animal 295","Big","Canine","Omnivore","4","1","2","TRUE"
"Animal 296","Big","Canine","Herbivore","4","2","1","TRUE"
"Animal 297","Big","Canine","Omnivore","6","2","3","TRUE"
"Animal 298","Big","Incisor","Carnivore","9","3","2","FALSE"
"Animal 299","Big","Incisor","Omnivore","2","2","5","FALSE"
"Animal 300","Big","Canine","Omnivore","6","1","2","TRUE"
"Animal 301","Big","Incisor","Carnivore","4","2","3","FALSE"
"Animal 302","Big","Incisor","Herbivore","2","1","5","TRUE"
"Animal 303","Small","Incisor","Omnivore","12","2","2","FALSE"
"Animal 304","Small","Canine","Herbivore","2","1","1","TRUE"
"Animal 305","Small","Canine","Herbivore","4","1","2","TRUE"
"Animal 306","Small","Incisor","Omnivore","10","2","2","FALSE"
"Animal 307","Medium","Canine","Herbivore","2","2","2","TRUE"
"Animal 308","Small","Incisor","Omnivore","4","1","5","TRUE"
"Animal 309","Big","Canine","Omnivore","2","2","3","TRUE"
"Animal 310","Small","Canine","Omnivore","4","2","1","TRUE"
"Animal 311","Medium","Canine","Omnivore","6","2","3","TRUE"
"Animal 312","Medium","Incisor","Omnivore","6","2","4","FALSE"
"Animal 313","Medium","Incisor","Omnivore","6","2","6","FALSE"
"Animal 314","Big","Canine","Herbivore","6","2","1","TRUE"
"Animal 315","Medium","Canine","Herbivore","6","1","3","TRUE"
"Animal 316","Small","Incisor","Omnivore","8","2","3","FALSE"
"Animal 317","Medium","Canine","Omnivore","10","3","1","FALSE"
"Animal 318","Small","Canine","Omnivore","2","1","1","TRUE"
"Animal 319","Small","Incisor","Carnivore","12","2","4","FALSE"
"Animal 320","Small","Canine","Herbivore","4","1","5","TRUE"
"Animal 321","Small","Incisor","Omnivore","7","2","5","FALSE"
"Animal 322","Medium","Incisor","Carnivore","11","3","1","FALSE"
"Animal 323","Big","Canine","Omnivore","4","1","2","TRUE"
"Animal 324","Big","Canine","Carnivore","7","2","6","FALSE"
"Animal 325","Big","Canine","Omnivore","4","1","4","TRUE"
"Animal 326","Medium","Incisor","Carnivore","5","2","4","FALSE"
"Animal 327","Small","Incisor","Omnivore","2","2","5","TRUE"
"Animal 328","Big","Incisor","Omnivore","5","2","3","FALSE"
"Animal 329","Medium","Canine","Herbivore","6","1","4","TRUE"
"Animal 330","Small","Incisor","Omnivore","3","1","6","FALSE"
"Animal 331","Big","Canine","Omnivore","2","1","2","TRUE"
"Animal 332","Small","Incisor","Herbivore","6","1","5","TRUE"
"Animal 333","Big","Canine","Omnivore","2","1","3","TRUE"
"Animal 334","Medium","Canine","Herbivore","4","1","3","TRUE"
"Animal 335","Small","Canine","Omnivore","2","1","2","TRUE"
"Animal 336","Small","Incisor","Herbivore","4","1","5","TRUE"
"Animal 337","Small","Incisor","Carnivore","9","1","6","FALSE"
"Animal 338","Small","Incisor","Omnivore","4","1","4","FALSE"
"Animal 339","Small","Canine","Omnivore","4","1","1","TRUE"
"Animal 340","Small","Canine","Carnivore","3","1","2","FALSE"
"Animal 341","Big","Incisor","Omnivore","6","1","1","FALSE"
"Animal 342","Small","Canine","Omnivore","6","1","3","TRUE"
"Animal 343","Small","Canine","Herbivore","6","1","5","TRUE"
"Animal 344","Small","Incisor","Omnivore","4","1","4","FALSE"
"Animal 345","Small","Canine","Omnivore","4","1","1","TRUE"
"Animal 346","Big","Incisor","Omnivore","11","1","6","FALSE"
"Animal 347","Medium","Canine","Herbivore","6","1","5","TRUE"
"Animal 348","Big","Canine","Omnivore","2","1","1","TRUE"
"Animal 349","Medium","Canine","Herbivore","4","1","3","TRUE"
"Animal 350","Small","Incisor","Carnivore","4","2","5","FALSE"
"Animal 351","Medium","Incisor","Omnivore","4","1","1","TRUE"
"Animal 352","Big","Incisor","Omnivore","6","1","2","TRUE"
"Animal 353","Small","Canine","Omnivore","1","2","2","FALSE"
"Animal 354","Small","Incisor","Omnivore","6","2","1","FALSE"
"Animal 355","Medium","Incisor","Omnivore","1","2","5","FALSE"
"Animal 356","Small","Incisor","Omnivore","2","2","6","FALSE"
"Animal 357","Medium","Incisor","Carnivore","9","2","3","FALSE"
"Animal 358","Big","Incisor","Omnivore","9","3","4","FALSE"
"Animal 359","Big","Canine","Omnivore","8","2","4","FALSE"
"Animal 360","Big","Incisor","Omnivore","7","2","4","FALSE"
"Animal 361","Small","Canine","Omnivore","2","3","5","FALSE"
"Animal 362","Big","Canine","Omnivore","2","2","5","TRUE"
"Animal 363","Big","Canine","Carnivore","11","3","3","FALSE"
"Animal 364","Medium","Incisor","Omnivore","1","2","1","FALSE"
"Animal 365","Big","Canine","Omnivore","2","3","5","FALSE"
"Animal 366","Small","Incisor","Carnivore","4","2","6","FALSE"
"Animal 367","Small","Canine","Omnivore","4","1","1","TRUE"
"Animal 368","Medium","Canine","Omnivore","2","1","2","TRUE"
"Animal 369","Big","Canine","Omnivore","4","1","3","TRUE"
"Animal 370","Big","Incisor","Carnivore","2","2","2","FALSE"
"Animal 371","Medium","Incisor","Omnivore","2","2","5","TRUE"
"Animal 372","Big","Incisor","Herbivore","6","1","3","TRUE"
"Animal 373","Small","Canine","Herbivore","6","1","3","TRUE"
"Animal 374","Big","Incisor","Omnivore","6","2","2","FALSE"
"Animal 375","Big","Incisor","Omnivore","6","2","2","TRUE"
"Animal 376","Small","Incisor","Omnivore","2","2","5","TRUE"
"Animal 377","Medium","Incisor","Omnivore","10","2","3","FALSE"
"Animal 378","Big","Incisor","Omnivore","6","3","5","FALSE"
"Animal 379","Big","Canine","Omnivore","8","2","2","FALSE"
"Animal 380","Medium","Incisor","Omnivore","9","2","4","FALSE"
"Animal 381","Small","Canine","Herbivore","6","2","3","TRUE"
"Animal 382","Big","Canine","Herbivore","2","1","3","TRUE"
"Animal 383","Small","Canine","Herbivore","6","2","1","TRUE"
"Animal 384","Small","Canine","Herbivore","2","1","1","TRUE"
"Animal 385","Small","Incisor","Omnivore","4","3","5","FALSE"
"Animal 386","Big","Canine","Omnivore","6","1","1","TRUE"
"Animal 387","Medium","Incisor","Omnivore","2","2","6","FALSE"
"Animal 388","Big","Incisor","Omnivore","12","2","5","FALSE"
"Animal 389","Big","Incisor","Omnivore","9","2","5","FALSE"
"Animal 390","Big","Canine","Omnivore","4","1","1","TRUE"
"Animal 391","Medium","Canine","Omnivore","2","2","4","TRUE"
"Animal 392","Big","Canine","Herbivore","6","1","4","TRUE"
"Animal 393","Big","Canine","Omnivore","4","2","1","TRUE"
"Animal 394","Medium","Canine","Omnivore","2","1","4","TRUE"
"Animal 395","Big","Canine","Carnivore","1","2","3","FALSE"
"Animal 396","Medium","Incisor","Omnivore","12","3","4","FALSE"
"Animal 397","Small","Incisor","Omnivore","12","2","6","FALSE"
"Animal 398","Big","Canine","Herbivore","4","3","2","TRUE"
"Animal 399","Small","Incisor","Omnivore","9","3","3","FALSE"
"Animal 400","Big","Incisor","Omnivore","10","2","4","FALSE"
"Animal 401","Medium","Incisor","Carnivore","4","2","1","FALSE"
"Animal 402","Big","Canine","Herbivore","6","2","5","TRUE"
"Animal 403","Medium","Canine","Herbivore","4","1","3","TRUE"
"Animal 404","Medium","Canine","Carnivore","9","2","5","FALSE"
"Animal 405","Medium","Canine","Omnivore","6","2","2","TRUE"
"Animal 406","Small","Incisor","Omnivore","6","2","2","TRUE"
"Animal 407","Medium","Incisor","Carnivore","6","2","5","FALSE"
"Animal 408","Medium","Canine","Omnivore","6","2","6","FALSE"
"Animal 409","Big","Canine","Omnivore","6","2","2","TRUE"
"Animal 410","Medium","Incisor","Omnivore","4","2","2","TRUE"
"Animal 411","Small","Incisor","Herbivore","6","2","1","TRUE"
"Animal 412","Small","Canine","Omnivore","1","2","4","FALSE"
"Animal 413","Medium","Canine","Omnivore","6","2","1","TRUE"
"Animal 414","Medium","Incisor","Omnivore","1","2","5","FALSE"
"Animal 415","Medium","Incisor","Herbivore","6","2","2","TRUE"
"Animal 416","Big","Incisor","Carnivore","3","2","4","FALSE"
"Animal 417","Big","Incisor","Carnivore","4","2","2","FALSE"
"Animal 418","Big","Canine","Herbivore","4","2","5","TRUE"
"Animal 419","Big","Canine","Omnivore","4","2","3","TRUE"
"Animal 420","Medium","Canine","Omnivore","3","2","1","FALSE"
"Animal 421","Small","Incisor","Omnivore","1","2","3","FALSE"
"Animal 422","Medium","Canine","Omnivore","3","2","2","FALSE"
"Animal 423","Big","Canine","Omnivore","6","2","3","TRUE"
"Animal 424","Big","Incisor","Omnivore","9","2","2","FALSE"
